"","","","Year","Flow",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","38","3","35"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","68 500","66 173","2 327"
"","","[854290] Parts of electronic integrated circuits","9 327","9 267","60"
"","Botswana [BW]","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","93 879","93 879",""
"","Brazil [BR]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","79 657 488","79 471 687","185 801"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","15 195 807","15 155 737","40 069"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 236 630","1 232 778","3 852"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","240 083 047","239 532 339","550 708"
"","","[854232] Electronic integrated circuits; memories","12 731 302","12 241 856","489 445"
"","","[854233] Electronic integrated circuits; amplifiers","3 254 637","3 238 353","16 284"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","114 051 319","113 267 160","784 159"
"","","[854290] Parts of electronic integrated circuits","18 421 957","18 407 461","14 496"
"","British Indian Ocean Territory [IO]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","398","398",""
"","Brunei Darussalam [BN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","2 918 984","2 892 052","26 932"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","137 869","134 990","2 879"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","805 729","805 367","362"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","399 219","398 766","453"
"","","[854232] Electronic integrated circuits; memories","3 683","3 683",""
"","","[854233] Electronic integrated circuits; amplifiers","1 388","1 388",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","132 957","123 689","9 268"
"","","[854290] Parts of electronic integrated circuits","299 058","299 058",""
"","Bulgaria [BG]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","321 885","189 711","132 174"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","43 298","43 028","270"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","76 937","67 464","9 473"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","79 621 449","78 456 304","1 165 145"
"","","[854232] Electronic integrated circuits; memories","6 979","6 979",""
"","","[854233] Electronic integrated circuits; amplifiers","103 794","103 794",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","75 350 335","66 912 864","8 437 471"
"","","[854290] Parts of electronic integrated circuits","1 654 264","15 160","1 639 104"
"","Burkina Faso [BF]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","3 898","","3 898"
